grid_id,location_name,state,latitude,longitude,date,soil_moisture_percent,depth_cm
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-01,47.76,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-02,47.42,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-03,48.04,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-04,48.26,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-05,48.84,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-06,48.64,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-07,47.74,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-08,47.26,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-09,46.64,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-10,46.32,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-11,46.08,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-12,47.08,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-13,50.36,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-14,49.34,15
GRID_25.57_91.88,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-15,49.56,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-01,48.92,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-02,49.02,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-03,49.28,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-04,49.88,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-05,49.24,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-06,48.16,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-07,47.8,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-08,49.58,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-09,49.88,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-10,49.92,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-11,49.78,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-12,50.02,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-13,50.4,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-14,49.92,15
GRID_25.27_91.73,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-15,50.48,15
GRID_27.33_88.61,East Sikkim (Gangtok),Sikkim,27.33,88.61,2024-06-01,41.2,15
GRID_27.33_88.61,East Sikkim (Gangtok),Sikkim,27.33,88.61,2024-06-02,40.5,15
GRID_27.33_88.61,East Sikkim (Gangtok),Sikkim,27.33,88.61,2024-06-03,41.62,15
