station_id,location_name,state,latitude,longitude,date,rainfall_mm,cumulative_24h,cumulative_72h
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-01,0.5,0.5,1.2
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-02,3.2,3.2,7.68
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-03,5.1,5.1,12.24
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-04,2.9,2.9,6.96
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-05,1.6,1.6,3.84
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-06,2.2,2.2,5.28
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-07,1.9,1.9,4.56
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-08,2.3,2.3,5.52
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-09,0.5,0.5,1.2
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-10,2.3,2.3,5.52
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-11,1.7,1.7,4.08
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-12,5.0,5.0,12.0
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-13,67.1,67.1,161.04
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-14,1.5,1.5,3.6
STN_ME_EAST,East Khasi Hills (Shillong),Meghalaya,25.57,91.88,2024-06-15,5.1,5.1,12.24
STN_ME_CHER,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-01,2.3,2.3,5.52
STN_ME_CHER,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-02,11.2,11.2,26.88
STN_ME_CHER,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-03,14.1,14.1,33.84
STN_ME_CHER,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-04,10.0,10.0,24.0
STN_ME_CHER,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-05,4.5,4.5,10.8
STN_ME_CHER,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-06,1.7,1.7,4.08
STN_ME_CHER,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-07,5.1,5.1,12.24
STN_ME_CHER,Cherrapunji (Sohra),Meghalaya,25.27,91.73,2024-06-08,5.8,5.8,13.92
